Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,C252948
C3,1206,1,C_Small 22uF(10V),C12891
"C4, C6, C8",0402,3,100nF (50V),C307331
C5,0603,1,10uF,C19702
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,C84410
D2,0603,1,Red Wifi Status,C2286
D3,D_SOD-123,1,D_TVS,C123799
F1,1206,1,Polyfuse,C106264
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C3020560
J2,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,C68234
J3,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,Barrier Terminal,C474881
Q1,SOT-363_SC-70-6,1,UMH3N,C62892
Q2,SOT23-3,1,MMBT2222A,C916372
R1,0402,1,330R,C25104
R2,0402,1,100R,C106232
"R3, R4",0402,2,5.1k,C25905
R5,0402,1,R 10k,C25744
R6,0402,1,1K,C106235
SW1,SW_SPST_TS-1088-xR025,1,RESET,C720477
SW2,SW_SPST_TS-1088-xR025,1,BOOT,C720477
U3,ESP32-WROOM-32E,1,ESP32-WROOM-32E (8MB),C701342
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U5,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,1,D3V3XA4B10LP,C1980462
U6,SOT23-5,1,AP2112K-3.3,C82942
