Designator,Mid X,Mid Y,Rotation,Layer
BZ1,164.8,-95.5,0.0,top
C3,131.0,-49.0,90.0,top
C4,135.0,-49.0,90.0,top
C5,131.5,-53.725,90.0,top
C6,124.0,-57.0,90.0,top
C8,124.5,-74.5,90.0,top
D1,173.5,-95.0,270.0,top
D2,153.0,-68.5,0.0,top
D3,176.5,-76.5,0.0,top
F1,167.0,-71.0,180.0,top
J1,177.105,-66.75,90.0,top
J2,143.73,-112.23,90.0,top
J3,173.04,-108.0,0.0,top
Q1,159.0,-56.0,180.0,top
Q2,163.5,-107.5,0.0,top
R1,155.0,-68.5,0.0,top
R2,157.5,-72.5,180.0,top
R3,167.5,-63.0,0.0,top
R4,161.5,-60.5,0.0,top
R5,126.5,-55.0,180.0,top
R6,157.5,-108.5,0.0,top
SW1,124.0,-50.5,90.0,top
SW2,124.5,-69.5,90.0,top
U3,146.75,-56.43,0.0,top
U4,166.5,-55.5,270.0,top
U5,163.15,-63.0,180.0,top
U6,132.5,-57.5,90.0,top
